"filename", "language", "MS SQL", "JSON", "Python", "C#", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\FileDto.cs", "C#", 0, 0, 0, -27, 0, 0, 0, 0, 0, -3, -30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\ImageDto.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\DatingPreferences.cs", "C#", 0, 0, 0, -28, 0, 0, 0, 0, 0, -4, -32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\SearchProfileVariant.cs", "C#", 0, 0, 0, 91, 0, 0, 0, 0, 0, 6, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\UserVariant.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\Aggregates\UserWriteDto.cs", "C#", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\DatingPreferencesWriteDto.cs", "C#", 0, 0, 0, -10, 0, 0, 0, 0, 0, -2, -12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\EngagementWriteDto.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Enrichment\Aggregates\UserEnriched.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\JudgementExtensions.cs", "C#", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\MatchingExtensions.cs", "C#", 0, 0, 0, 63, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\MessageExtensions.cs", "C#", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\SearchProfileExtensions.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\UserExtensions.cs", "C#", 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\GetAdminAreaByIdQuery.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
